iter	Passed	Remaining
0	21	21329
1	38	19385
2	55	18476
3	72	18071
4	90	17942
5	109	18187
6	126	17959
7	143	17821
8	160	17659
9	177	17530
10	194	17466
11	211	17452
12	230	17522
13	248	17499
14	266	17490
15	286	17596
16	305	17687
17	322	17621
18	341	17623
19	360	17650
20	380	17750
21	398	17701
22	417	17726
23	437	17774
24	456	17787
25	474	17765
26	492	17739
27	509	17679
28	526	17633
29	546	17685
30	565	17674
31	583	17654
32	601	17633
33	620	17622
34	639	17625
35	657	17617
36	675	17579
37	693	17550
38	712	17558
39	729	17504
40	747	17495
41	767	17510
42	786	17506
43	806	17518
44	826	17538
45	844	17509
46	863	17503
47	880	17472
48	902	17508
49	919	17471
50	938	17458
51	955	17423
52	973	17398
53	991	17371
54	1010	17361
55	1027	17327
56	1047	17322
57	1064	17288
58	1082	17266
59	1099	17223
60	1118	17210
61	1136	17194
62	1154	17172
63	1172	17153
64	1191	17140
65	1211	17140
66	1230	17129
67	1248	17114
68	1268	17117
69	1286	17085
70	1305	17082
71	1322	17042
72	1340	17028
73	1359	17015
74	1377	16990
75	1398	16997
76	1415	16968
77	1433	16949
78	1452	16935
79	1471	16920
80	1489	16899
81	1507	16877
82	1527	16872
83	1546	16864
84	1565	16849
85	1583	16825
86	1601	16802
87	1618	16776
88	1637	16760
89	1656	16750
90	1675	16733
91	1693	16715
92	1713	16707
93	1730	16681
94	1749	16662
95	1768	16652
96	1787	16636
97	1804	16612
98	1824	16608
99	1843	16593
100	1861	16572
101	1880	16553
102	1899	16540
103	1918	16532
104	1936	16508
105	1954	16481
106	1972	16463
107	1990	16439
108	2009	16422
109	2027	16403
110	2045	16384
111	2062	16351
112	2081	16335
113	2099	16318
114	2117	16296
115	2136	16280
116	2154	16256
117	2172	16238
118	2191	16226
119	2211	16217
120	2229	16192
121	2248	16178
122	2265	16150
123	2282	16125
124	2300	16102
125	2319	16088
126	2337	16067
127	2354	16039
128	2371	16015
129	2391	16003
130	2409	15981
131	2426	15958
132	2445	15938
133	2462	15912
134	2479	15887
135	2499	15878
136	2517	15856
137	2535	15836
138	2553	15814
139	2571	15796
140	2587	15763
141	2608	15760
142	2626	15738
143	2643	15712
144	2662	15697
145	2679	15674
146	2701	15678
147	2718	15650
148	2736	15627
149	2752	15600
150	2772	15587
151	2791	15572
152	2809	15552
153	2829	15543
154	2846	15520
155	2864	15495
156	2880	15468
157	2899	15453
158	2918	15438
159	2937	15421
160	2956	15408
161	2974	15386
162	2991	15360
163	3009	15341
164	3026	15318
165	3047	15309
166	3064	15288
167	3084	15275
168	3103	15259
169	3120	15236
170	3138	15213
171	3156	15194
172	3175	15178
173	3192	15155
174	3212	15142
175	3229	15121
176	3249	15108
177	3269	15097
178	3288	15083
179	3308	15070
180	3325	15048
181	3345	15035
182	3362	15013
183	3382	14998
184	3401	14984
185	3420	14970
186	3439	14955
187	3457	14934
188	3477	14921
189	3497	14910
190	3515	14889
191	3533	14871
192	3551	14851
193	3570	14834
194	3587	14810
195	3606	14795
196	3623	14769
197	3641	14750
198	3659	14730
199	3678	14713
200	3696	14692
201	3714	14672
202	3731	14652
203	3750	14633
204	3768	14614
205	3788	14601
206	3805	14580
207	3826	14569
208	3846	14558
209	3864	14537
210	3882	14516
211	3900	14498
212	3920	14484
213	3938	14467
214	3960	14459
215	3978	14440
216	3995	14418
217	4014	14399
218	4032	14381
219	4050	14361
220	4069	14343
221	4087	14323
222	4105	14303
223	4123	14284
224	4141	14265
225	4160	14249
226	4179	14232
227	4197	14213
228	4214	14190
229	4234	14176
230	4252	14155
231	4270	14135
232	4290	14122
233	4308	14103
234	4327	14087
235	4344	14063
236	4362	14044
237	4381	14028
238	4402	14017
239	4422	14006
240	4441	13987
241	4460	13970
242	4479	13955
243	4498	13936
244	4516	13919
245	4536	13903
246	4555	13888
247	4574	13871
248	4592	13852
249	4610	13831
250	4629	13815
251	4648	13797
252	4665	13776
253	4684	13757
254	4702	13739
255	4719	13717
256	4738	13699
257	4755	13677
258	4776	13665
259	4794	13644
260	4813	13629
261	4832	13610
262	4851	13594
263	4870	13578
264	4889	13560
265	4907	13541
266	4926	13525
267	4945	13507
